continent,nation
Africa,East_Africa
Africa,Cape_Verde
Africa,the_Sahrawi_Arab_Democratic_Republic
Africa,Ghana
Africa,the_Republic_of_the_Congo
Africa,Senegal
Africa,Somaliland
Africa,Sudan
Africa,Djibouti
Africa,Africa
Africa,Morocco
Africa,Somalia
Africa,Zimbabwe
Africa,the_Canary_Islands
Africa,Africa
Africa,Melilla
Africa,Liberia
Africa,Ascension_Island
Africa,Eswatini
Africa,Burkina_Faso
Africa,Chad
Africa,Mauritius
Africa,South_Africa
Africa,Nigeria
Africa,Seychelles
Africa,Europe
Africa,tps://en.wikipedia.org/wiki/List_of_cities_by_continent
Africa,the_Gambia
Africa,Gabon
Africa,Lesotho
Africa,Algeria
Africa,Egypt
Africa,Angola
Africa,the_Democratic_Republic_of_the_Congo
Africa,Western_Sahara
Africa,Mauritania
Africa,Ivory_Coast
Africa,Namibia
Africa,Tristan_da_Cunha
Africa,Libya
Africa,Zimbabwe
Africa,Malawi
Africa,Asia
Africa,Africa
Africa,Madeira
Africa,Uganda
Africa,Eritrea
Africa,Equatorial_Guinea
Africa,Socotra
Africa,tps://en.wikipedia.org/wiki/List_of_central_banks_of_Africa
Africa,Rwanda
Africa,the_Comoros
Africa,Guinea
Africa,Burundi
Africa,Cameroon
Africa,Ethiopia
Africa,Cameroon
Africa,Togo
Africa,South_America
Africa,Zambia
Africa,Botswana
Africa,Mali
Africa,Mayotte
Africa,Mozambique
Africa,Benin
Africa,Santa_Cruz_de_Tenerife
Africa,Ceuta
Africa,Saint_Helena
Africa,Egypt
Africa,Tanzania
Africa,South_Sudan
Africa,Sierra_Leone
Africa,the_Central_African_Republic
Africa,Ethiopia
Africa,Uganda
Africa,Africa_by_population
Africa,Kenya
Africa,Niger
Africa,Oceania
Africa,Madagascar
Africa,North_America
Africa,Tunisia
North_America,Grenada
North_America,Belize
North_America,Jamaica
North_America,Panama
North_America,Saba
North_America,the_Turks_and_Caicos_Islands
North_America,Saint_Kitts_and_Nevis
North_America,Saint_Vincent_and_the_Grenadines
North_America,Saint_Lucia
North_America,Montserrat
North_America,the_British_Virgin_Islands
North_America,Guatemala
North_America,Asia
North_America,the_Dominican_Republic
North_America,Bonaire
North_America,Dominica
North_America,the_British_Virgin_Islands
North_America,Barbados
North_America,Dominica
North_America,Africa
North_America,Antigua_and_Barbuda
North_America,North_America
North_America,El_Salvador
North_America,Saint_Pierre_and_Miquelon
North_America,Costa_Rica
North_America,Trinidad_and_Tobago
North_America,the_Bahamas
North_America,Canada
North_America,Saint_Kitts_and_Nevis
North_America,the_Netherlands_Antilles
North_America,the_Cayman_Islands
North_America,the_United_States_Virgin_Islands
North_America,Greenland
North_America,Bermuda
North_America,the_United_States
North_America,Guadeloupe
North_America,Jamaica
North_America,Anguilla
North_America,Aruba
North_America,Mexico
North_America,Puerto_Rico
North_America,Sint_Maarten
North_America,Cuba
North_America,Greenland
North_America,Sint_Eustatius
North_America,the_Collectivity_of_Saint_Martin
North_America,Honduras
North_America,Trinidad_and_Tobago
North_America,Haiti
North_America,Oceania
North_America,Europe
North_America,North_America
North_America,Martinique
North_America,South_America
North_America,tps://en.wikipedia.org/wiki/List_of_cities_by_continent
North_America,Nicaragua
South_America,the_European_Union_by_population_within_city_limits
South_America,Suriname
South_America,Argentina
South_America,Venezuela
South_America,Bolivia
South_America,the_Falkland_Islands
South_America,the_West_Indies
South_America,Brazil
South_America,South_Georgia_and_the_South_Sandwich_Islands
South_America,French_Guiana
South_America,Oceania_by_population
South_America,Asia
South_America,Chile
South_America,North_America
South_America,Africa
South_America,Paraguay
South_America,the_Nordic_countries
South_America,Guyana
South_America,Ecuador
South_America,Europe
South_America,Colombia
South_America,ASEAN_by_population
South_America,Uruguay
South_America,the_Americas
South_America,North_America
South_America,South_America
South_America,Peru
Asia,Jordan
Asia,tps://en.wikipedia.org/wiki/List_of_transcontinental_countries
Asia,South_Ossetia
Asia,Bhutan
Asia,Nepal
Asia,Lebanon
Asia,Christmas_Island
Asia,Mongolia
Asia,Africa
Asia,Tajikistan
Asia,Malaysia
Asia,Azerbaijan
Asia,Armenia
Asia,Sri_Lanka
Asia,Lebanon
Asia,Bangladesh
Asia,Cambodia
Asia,the_State_of_Palestine
Asia,Afghanistan
Asia,Abkhazia
Asia,Israel
Asia,Europe
Asia,tps://en.wikipedia.org/wiki/List_of_cities_by_continent
Asia,Laos
Asia,Iraq
Asia,Myanmar
Asia,Asia
Asia,Turkey
Asia,Russia
Asia,China
Asia,Egypt
Asia,Kuwait
Asia,Asia
Asia,the_Philippines
Asia,Oman
Asia,Bangladesh
Asia,Iran
Asia,Pakistan
Asia,the_Republic_of_Artsakh
Asia,Russia
Asia,Saudi_Arabia
Asia,Kyrgyzstan
Asia,Indonesia
Asia,Hong_Kong
Asia,Vietnam
Asia,Japan
Asia,Taiwan
Asia,South_Korea
Asia,Asia
Asia,Asia
Asia,Brunei
Asia,Saudi_Arabia
Asia,Asia
Asia,India
Asia,Northern_Cyprus
Asia,Bahrain
Asia,North_Korea
Asia,Cyprus
Asia,the_Maldives
Asia,Brunei
Asia,East_Timor
Asia,South_America
Asia,the_United_Arab_Emirates
Asia,Thailand
Asia,Asia
Asia,Turkmenistan
Asia,Uzbekistan
Asia,Kazakhstan
Asia,Myanmar
Asia,Yemen
Asia,Qatar
Asia,Singapore
Asia,Syria
Asia,Macau
Asia,Oceania
Asia,North_America
Asia,tps://en.wikipedia.org/wiki/List_of_cities_administered_by_the_Palestinian_Authority
Europe,Montenegro
Europe,the_European_Union_by_population_within_city_limits
Europe,Hungary
Europe,the_United_Kingdom
Europe,Artsakh
Europe,Bulgaria
Europe,Kosovo
Europe,Slovakia
Europe,Norway
Europe,Iceland
Europe,Turkey
Europe,Asia
Europe,Greece
Europe,the_Netherlands_by_province
Europe,Croatia
Europe,Romania
Europe,Africa
Europe,Switzerland
Europe,Andorra
Europe,Italy
Europe,Estonia
Europe,Finland
Europe,the_Czech_Republic
Europe,Azerbaijan
Europe,Kazakhstan
Europe,Bosnia_and_Herzegovina
Europe,Sweden
Europe,Belarus
Europe,Luxembourg
Europe,tps://en.wikipedia.org/wiki/List_of_municipalities_of_Spain
Europe,Ukraine
Europe,Albania
Europe,Armenia
Europe,tps://en.wikipedia.org/wiki/List_of_cities_and_towns_of_Hungary
Europe,Ireland
Europe,Moldova
Europe,Europe
Europe,Belgium
Europe,Poland
Europe,Albania
Europe,Germany
Europe,Austria
Europe,Croatia
Europe,Russia
Europe,Slovenia
Europe,Greece
Europe,Latvia
Europe,the_Czech_Republic
Europe,Portugal
Europe,Lithuania
Europe,Malta
Europe,Oceania
Europe,North_America
Europe,North_Macedonia
Europe,South_America
Europe,Denmark_by_population
Europe,tps://en.wikipedia.org/wiki/List_of_cities_by_continent
Europe,Serbia
Oceania,French_Polynesia
Oceania,Easter_Island
Oceania,the_Pitcairn_Islands
Oceania,the_Federated_States_of_Micronesia
Oceania,Tokelau
Oceania,Christmas_Island
Oceania,the_Northern_Mariana_Islands
Oceania,Asia
Oceania,American_Samoa
Oceania,Oceania_by_population
Oceania,Africa
Oceania,Hawaii
Oceania,Fiji
Oceania,Fiji
Oceania,Kiribati
Oceania,Wallis_and_Futuna
Oceania,Guam
Oceania,Norfolk_Island
Oceania,Australia
Oceania,Papua_New_Guinea
Oceania,Vanuatu
Oceania,the_Cook_Islands
Oceania,Kiribati
Oceania,Niue
Oceania,Tonga
Oceania,Nauru
Oceania,Palau
Oceania,New_Zealand
Oceania,Tuvalu
Oceania,New_Caledonia
Oceania,the_Marshall_Islands
Oceania,Oceania
Oceania,Indonesia
Oceania,Europe
Oceania,North_America
Oceania,Samoa
Oceania,Solomon_Islands
Oceania,South_America
Oceania,tps://en.wikipedia.org/wiki/List_of_cities_by_continent
